species	group	phylum	class
ustilago_maydis	fungi	Basidiomycota	
sporisorium_reilianum	fungi	Basidiomycota	
cryptococcus_neoformans	fungi	Basidiomycota	
puccinia_triticina	fungi	Basidiomycota	
aspergillus_niger	fungi	Ascomycota	
aspergillus_oryzae	fungi	Ascomycota	
aspergillus_flavus	fungi	Ascomycota	
aspergillus_terreus	fungi	Ascomycota	
aspergillus_clavatus	fungi	Ascomycota	
aspergillus_fumigatus	fungi	Ascomycota	
aspergillus_nidulans	fungi	Ascomycota	
histoplasma_capsulatum	fungi	Ascomycota	
blumeria_graminis	fungi	Ascomycota	
botrytis_cinerea	fungi	Ascomycota	
sclerotinia_sclerotiorum	fungi	Ascomycota	
fusarium_graminearum	fungi	Ascomycota	Sordariomycetes
fusarium_culmorum	fungi	Ascomycota	Sordariomycetes
fusarium_pseudograminearum	fungi	Ascomycota	Sordariomycetes
fusarium_verticillioides	fungi	Ascomycota	Sordariomycetes
fusarium_fujikuroi	fungi	Ascomycota	Sordariomycetes
fusarium_oxysporum	fungi	Ascomycota	Sordariomycetes
fusarium_solani	fungi	Ascomycota	Sordariomycetes
beauveria_bassiana	fungi	Ascomycota	Sordariomycetes
trichoderma_virens	fungi	Ascomycota	Sordariomycetes
trichoderma_reesei	fungi	Ascomycota	Sordariomycetes
neurospora_crassa	fungi	Ascomycota	Sordariomycetes
pyricularia_oryzae	fungi	Ascomycota	Sordariomycetes
colletotrichum_gloeosporioides	fungi	Ascomycota	Sordariomycetes
colletotrichum_orbiculare	fungi	Ascomycota	Sordariomycetes
colletotrichum_graminicola	fungi	Ascomycota	Sordariomycetes
colletotrichum_higginsianum	fungi	Ascomycota	Sordariomycetes
verticillium_dahliae	fungi	Ascomycota	Sordariomycetes
zymoseptoria_tritici	fungi	Ascomycota	
dothistroma_septosporum	fungi	Ascomycota	
leptosphaeria_maculans	fungi	Ascomycota	
pyrenophora_teres	fungi	Ascomycota	
tuber_melanosporum	fungi	Ascomycota	
komagataella_pastoris	fungi	Ascomycota	
candida_tropicalis	fungi	Ascomycota	
candida_albicans	fungi	Ascomycota	
candida_parapsilosis	fungi	Ascomycota	
saccharomyces_cerevisiae	fungi	Ascomycota	
yarrowia_lipolytica	fungi	Ascomycota	
schizosaccharomyces_japonicus	fungi	Ascomycota	
schizosaccharomyces_cryophilus	fungi	Ascomycota	
schizosaccharomyces_octosporus	fungi	Ascomycota	
schizosaccharomyces_pombe	fungi	Ascomycota	
amphimedon_queenslandica	metazoa	Porifera	
mnemiopsis_leidyi	metazoa	Ctenophora	
saccoglossus_kowalevskii_gca000003605v1	metazoa	Hemichordata	
strongylocentrotus_purpuratus	metazoa	Echinodermata	
lytechinus_variegatus_gca018143015v1	metazoa	Echinodermata	
acanthaster_planci_gca001949145v1	metazoa	Echinodermata	
asterias_rubens_gca902459465v3	metazoa	Echinodermata	
anneissia_japonica_gca011630105v1	metazoa	Echinodermata	
hofstenia_miamia	metazoa	Xenacoelomorpha	
branchiostoma_lanceolatum	metazoa	Chordata	
callorhinchus_milii	vertebrates	Chordata	
lepisosteus_oculatus	vertebrates	Chordata	Actinopteri
esox_lucius	vertebrates	Chordata	Actinopteri
oncorhynchus_mykiss	vertebrates	Chordata	Actinopteri
oncorhynchus_tshawytscha	vertebrates	Chordata	Actinopteri
oncorhynchus_kisutch	vertebrates	Chordata	Actinopteri
salmo_salar	vertebrates	Chordata	Actinopteri
hucho_hucho	vertebrates	Chordata	Actinopteri
sparus_aurata	vertebrates	Chordata	Actinopteri
mola_mola	vertebrates	Chordata	Actinopteri
tetraodon_nigroviridis	vertebrates	Chordata	Actinopteri
takifugu_rubripes	vertebrates	Chordata	Actinopteri
larimichthys_crocea	vertebrates	Chordata	Actinopteri
dicentrarchus_labrax	vertebrates	Chordata	Actinopteri
labrus_bergylta	vertebrates	Chordata	Actinopteri
sander_lucioperca	vertebrates	Chordata	Actinopteri
cyclopterus_lumpus	vertebrates	Chordata	Actinopteri
gasterosteus_aculeatus	vertebrates	Chordata	Actinopteri
cottoperca_gobio	vertebrates	Chordata	Actinopteri
betta_splendens	vertebrates	Chordata	Actinopteri
anabas_testudineus	vertebrates	Chordata	Actinopteri
mastacembelus_armatus	vertebrates	Chordata	Actinopteri
monopterus_albus	vertebrates	Chordata	Actinopteri
lates_calcarifer	vertebrates	Chordata	Actinopteri
scophthalmus_maximus	vertebrates	Chordata	Actinopteri
cynoglossus_semilaevis	vertebrates	Chordata	Actinopteri
seriola_dumerili	vertebrates	Chordata	Actinopteri
seriola_lalandi_dorsalis	vertebrates	Chordata	Actinopteri
echeneis_naucrates	vertebrates	Chordata	Actinopteri
amphilophus_citrinellus	vertebrates	Chordata	Actinopteri
pundamilia_nyererei	vertebrates	Chordata	Actinopteri
maylandia_zebra	vertebrates	Chordata	Actinopteri
astatotilapia_calliptera	vertebrates	Chordata	Actinopteri
haplochromis_burtoni	vertebrates	Chordata	Actinopteri
neolamprologus_brichardi	vertebrates	Chordata	Actinopteri
oreochromis_aureus	vertebrates	Chordata	Actinopteri
oreochromis_niloticus	vertebrates	Chordata	Actinopteri
oryzias_latipes	vertebrates	Chordata	Actinopteri
oryzias_sinensis	vertebrates	Chordata	Actinopteri
oryzias_javanicus	vertebrates	Chordata	Actinopteri
cyprinodon_variegatus	vertebrates	Chordata	Actinopteri
fundulus_heteroclitus	vertebrates	Chordata	Actinopteri
xiphophorus_couchianus	vertebrates	Chordata	Actinopteri
xiphophorus_maculatus	vertebrates	Chordata	Actinopteri
gambusia_affinis	vertebrates	Chordata	Actinopteri
poecilia_mexicana	vertebrates	Chordata	Actinopteri
poecilia_latipinna	vertebrates	Chordata	Actinopteri
poecilia_reticulata	vertebrates	Chordata	Actinopteri
poecilia_formosa	vertebrates	Chordata	Actinopteri
kryptolebias_marmoratus	vertebrates	Chordata	Actinopteri
nothobranchius_furzeri	vertebrates	Chordata	Actinopteri
salarias_fasciatus	vertebrates	Chordata	Actinopteri
